feedback_id,customer_id,rating,complaint_type,feedback_date
165,1481,3,No Complaint,2025-05-23
166,1112,3,No Complaint,2026-01-25
167,1880,2,Long Wait Time,2025-07-07
168,58,5,No Complaint,2025-09-02
169,837,5,Slow Charging,2026-01-09
170,1265,3,No Complaint,2025-06-04
171,1651,3,Slow Charging,2025-12-26
172,162,2,Slow Charging,2026-04-28
173,598,3,No Complaint,2025-09-24
174,1487,5,No Complaint,2026-02-02
175,1175,3,No Complaint,2025-05-08
176,9,3,No Complaint,2025-09-25
177,1521,5,No Complaint,2025-10-23
178,961,3,Slow Charging,2026-01-03
179,1819,4,Slow Charging,2025-05-08
180,1209,4,Slow Charging,2025-10-29
181,1175,5,No Complaint,2025-07-05
182,1148,4,No Complaint,2025-05-23
183,1251,4,No Complaint,2026-04-28
184,1521,5,Slow Charging,2025-12-01
185,550,2,Payment Failure,2025-10-09
186,1854,2,Port Not Working,2025-06-01
187,1233,4,No Complaint,2026-02-25
188,952,2,Long Wait Time,2025-11-02
189,1004,4,No Complaint,2026-03-30
190,1615,4,No Complaint,2025-07-27
191,1370,2,Long Wait Time,2025-05-28
192,1747,5,Slow Charging,2025-09-09
193,1190,4,No Complaint,2025-11-16
194,871,3,No Complaint,2026-03-06
195,511,2,Long Wait Time,2025-07-24
196,1752,1,Payment Failure,2026-03-21
197,675,5,No Complaint,2026-04-05
198,216,4,No Complaint,2026-04-14
199,64,3,No Complaint,2026-04-23
200,812,3,Slow Charging,2025-10-09
201,39,1,Port Not Working,2026-03-06
202,741,3,No Complaint,2026-03-12
203,681,1,Slow Charging,2025-11-26
204,1692,1,Poor App Experience,2025-10-26
205,1447,2,Poor App Experience,2025-09-06
206,593,4,No Complaint,2026-02-17
207,1147,1,Long Wait Time,2025-07-25
208,1545,1,Poor App Experience,2025-09-25
209,337,5,No Complaint,2026-03-25
210,1545,2,Poor App Experience,2026-01-07
211,1688,2,Slow Charging,2025-05-29
212,1294,5,Slow Charging,2025-06-24
213,829,1,Long Wait Time,2025-10-04
214,789,3,No Complaint,2025-08-02
215,561,3,No Complaint,2026-03-26
216,141,3,Slow Charging,2025-11-09
217,328,5,No Complaint,2025-09-01
218,817,2,Poor App Experience,2026-03-03
219,596,1,Slow Charging,2025-11-24
220,1323,2,Slow Charging,2026-01-17
221,208,2,Port Not Working,2025-08-16
222,486,4,No Complaint,2025-07-09
223,1571,2,Port Not Working,2026-05-05
224,753,4,No Complaint,2025-10-18
225,1572,2,Poor App Experience,2025-06-06
226,522,5,No Complaint,2026-02-09
227,1993,3,No Complaint,2025-09-22
228,1339,3,Slow Charging,2025-09-15
229,1764,1,Payment Failure,2026-04-19
230,1587,3,Slow Charging,2025-11-14
231,330,1,Slow Charging,2026-05-01
232,188,2,Port Not Working,2025-07-28
233,754,3,No Complaint,2025-05-22
234,695,4,Slow Charging,2025-09-13
235,1426,2,Poor App Experience,2026-04-04
236,1981,3,Slow Charging,2025-06-30
237,748,3,Slow Charging,2025-09-13
238,1121,5,No Complaint,2026-01-05
239,1426,1,Payment Failure,2026-03-18
240,1991,1,Payment Failure,2026-04-02
241,1663,3,No Complaint,2025-05-24
242,1828,2,Port Not Working,2026-02-26
243,181,3,No Complaint,2026-02-21
244,402,5,No Complaint,2026-03-11
245,696,4,No Complaint,2025-11-04
246,491,2,Long Wait Time,2025-12-05
247,832,3,No Complaint,2025-06-26
248,1055,1,Slow Charging,2025-12-30
249,1289,1,Payment Failure,2025-08-07
250,1179,3,No Complaint,2025-12-20
251,1793,1,Slow Charging,2025-05-21
252,757,2,Slow Charging,2025-08-29
253,1558,3,No Complaint,2025-08-18
254,209,1,Long Wait Time,2025-07-30
255,599,1,Long Wait Time,2025-12-01
256,992,3,No Complaint,2025-08-22
257,877,5,No Complaint,2026-02-12
258,946,3,No Complaint,2025-09-16
259,1563,3,Slow Charging,2025-05-29
260,274,2,Port Not Working,2025-07-11
261,1635,2,Slow Charging,2025-08-26
262,1139,5,Slow Charging,2026-01-25
263,1945,4,Slow Charging,2026-05-04
264,1515,1,Poor App Experience,2026-03-10
265,1939,5,Slow Charging,2026-01-07
266,1713,1,Poor App Experience,2025-08-04
267,721,4,No Complaint,2025-06-27
268,292,5,No Complaint,2026-02-13
269,12,3,No Complaint,2026-02-17
270,394,3,Slow Charging,2025-12-18
271,527,1,Slow Charging,2025-07-20
272,1307,1,Slow Charging,2025-10-24
273,114,1,Payment Failure,2026-01-12
274,199,5,Slow Charging,2025-08-24
275,1445,3,Slow Charging,2025-06-01
276,541,2,Long Wait Time,2025-07-29
277,212,1,Port Not Working,2026-01-24
278,1233,1,Long Wait Time,2026-04-15
279,583,1,Payment Failure,2026-01-08
280,1822,1,Slow Charging,2025-05-13
281,1617,2,Payment Failure,2026-02-17
282,125,5,Slow Charging,2026-03-14
283,356,4,No Complaint,2026-02-09
284,1750,1,Payment Failure,2025-06-21
285,1476,5,Slow Charging,2025-05-25
286,427,4,No Complaint,2026-03-07
287,1388,2,Long Wait Time,2025-12-11
288,890,1,Slow Charging,2026-02-28
289,1201,5,No Complaint,2025-08-12
290,62,4,No Complaint,2025-07-19
291,1972,4,No Complaint,2025-06-14
292,682,3,Slow Charging,2026-01-19
293,1346,2,Poor App Experience,2025-07-03
294,240,1,Long Wait Time,2025-08-04
295,179,2,Port Not Working,2026-03-21
296,1832,1,Payment Failure,2026-03-08
297,636,1,Port Not Working,2026-01-17
298,779,4,No Complaint,2026-01-15
299,398,4,No Complaint,2026-02-07
300,148,5,No Complaint,2025-05-26
301,984,1,Long Wait Time,2025-12-27
302,1588,4,Slow Charging,2025-11-19
303,464,3,No Complaint,2025-09-03
304,1288,3,No Complaint,2025-10-06
305,208,2,Port Not Working,2026-02-09
306,73,5,No Complaint,2025-06-15
307,566,4,No Complaint,2025-12-28
308,1529,5,Slow Charging,2025-05-22
309,891,3,No Complaint,2026-03-03
310,1052,1,Long Wait Time,2025-12-21
311,1035,1,Long Wait Time,2025-10-02
312,1706,3,No Complaint,2025-11-02
313,419,3,No Complaint,2026-03-19
314,1537,2,Long Wait Time,2025-05-27
315,1532,4,No Complaint,2025-09-10
316,1637,2,Port Not Working,2026-01-28
317,884,1,Payment Failure,2026-02-02
318,1257,5,No Complaint,2025-09-28
319,228,2,Slow Charging,2025-11-01
320,829,3,No Complaint,2026-01-27
321,574,5,Slow Charging,2026-02-12
322,1940,4,No Complaint,2025-12-03
323,471,5,Slow Charging,2026-04-27
324,1835,3,Slow Charging,2025-11-25
325,1777,4,Slow Charging,2025-07-24
326,148,2,Long Wait Time,2026-01-08
327,607,5,Slow Charging,2025-12-22
328,1731,3,No Complaint,2026-04-03
329,750,1,Slow Charging,2026-04-05
330,550,2,Poor App Experience,2025-07-22
331,312,2,Long Wait Time,2026-01-10
332,558,5,No Complaint,2025-07-31
333,465,2,Long Wait Time,2026-03-05
334,765,1,Slow Charging,2025-06-11
335,1934,2,Poor App Experience,2025-06-29
336,353,3,No Complaint,2025-10-09
337,39,2,Poor App Experience,2026-01-28
338,913,1,Port Not Working,2026-01-23
339,1378,2,Poor App Experience,2025-05-29
340,347,2,Payment Failure,2025-09-22
341,374,3,No Complaint,2025-09-14
342,1365,2,Slow Charging,2026-03-12
343,426,1,Long Wait Time,2025-07-15
344,1835,2,Port Not Working,2025-11-11
345,568,4,No Complaint,2025-11-01
346,1948,2,Long Wait Time,2026-01-03
347,1484,4,No Complaint,2026-03-27
348,1777,5,No Complaint,2025-06-03
349,105,5,No Complaint,2025-07-06
350,1373,5,Slow Charging,2025-12-09
351,547,5,Slow Charging,2025-06-17
352,1696,3,No Complaint,2025-05-20
353,673,2,Long Wait Time,2025-11-01
354,984,5,Slow Charging,2026-04-09
355,1966,5,Slow Charging,2026-03-27
356,1373,5,No Complaint,2026-01-02
357,623,3,No Complaint,2026-02-21
358,1482,2,Port Not Working,2025-05-24
359,711,2,Long Wait Time,2025-07-12
360,842,5,No Complaint,2025-05-17
361,1037,2,Long Wait Time,2025-10-03
362,1652,1,Poor App Experience,2026-04-16
363,1836,2,Slow Charging,2025-11-18
364,730,5,No Complaint,2025-05-05
365,939,5,No Complaint,2025-05-22
366,916,2,Port Not Working,2026-01-04
367,1801,4,Slow Charging,2026-04-30
368,1593,5,No Complaint,2025-11-03
369,1658,5,Slow Charging,2026-02-01
370,1954,4,No Complaint,2025-08-20
371,1238,1,Payment Failure,2025-09-02
372,1321,1,Slow Charging,2025-05-31
373,1662,4,Slow Charging,2025-12-16
374,1026,4,No Complaint,2025-11-22
375,520,5,No Complaint,2025-11-12
376,711,4,No Complaint,2026-03-12
377,707,5,Slow Charging,2025-08-11
378,297,5,No Complaint,2026-02-18
379,1274,1,Long Wait Time,2025-09-10
380,1957,5,No Complaint,2025-06-04
381,661,3,No Complaint,2025-09-18
382,1118,4,No Complaint,2025-08-18
383,1019,1,Long Wait Time,2025-05-13
384,1929,5,No Complaint,2025-11-15
385,352,5,Slow Charging,2025-12-09
386,1931,4,Slow Charging,2025-06-21
387,1595,5,Slow Charging,2026-02-21
388,755,5,Slow Charging,2025-10-03
389,708,1,Payment Failure,2025-08-07
390,804,1,Poor App Experience,2026-05-03
391,1358,3,No Complaint,2025-08-30
392,839,5,No Complaint,2026-03-30
393,1569,5,No Complaint,2026-04-29
394,1777,4,No Complaint,2026-03-25
395,513,2,Long Wait Time,2025-05-30
396,252,1,Payment Failure,2025-06-23
397,717,3,No Complaint,2025-08-19
398,205,3,Slow Charging,2025-09-26
399,90,2,Port Not Working,2025-12-14
400,1863,2,Port Not Working,2025-11-21
401,1519,5,Slow Charging,2025-12-03
402,1963,2,Long Wait Time,2025-11-12
403,1127,1,Payment Failure,2025-06-21
404,1254,2,Long Wait Time,2025-12-02
405,923,2,Payment Failure,2026-03-23
406,1846,3,No Complaint,2026-01-20
407,216,1,Poor App Experience,2025-05-27
408,1796,3,No Complaint,2025-08-07
409,1979,5,Slow Charging,2026-04-13
410,1306,3,Slow Charging,2025-07-02
411,1515,1,Port Not Working,2025-09-04
412,145,1,Payment Failure,2025-12-28
413,112,3,Slow Charging,2025-10-27
414,720,3,No Complaint,2025-09-02
415,159,4,No Complaint,2025-06-30
416,916,1,Poor App Experience,2025-07-23
417,1447,2,Poor App Experience,2026-03-06
418,420,5,No Complaint,2025-10-08
419,957,3,Slow Charging,2025-09-25
420,1776,5,Slow Charging,2025-07-28
421,768,1,Slow Charging,2025-11-28
422,225,4,No Complaint,2026-01-27
423,1738,1,Port Not Working,2025-10-17
424,1027,5,Slow Charging,2025-12-08
425,1010,4,No Complaint,2025-09-16
426,1068,4,Slow Charging,2025-06-20
427,465,3,No Complaint,2026-04-27
428,766,1,Long Wait Time,2025-11-16
429,685,5,Slow Charging,2026-04-26
430,1918,2,Slow Charging,2025-07-27
431,26,3,Slow Charging,2026-03-26
432,738,5,Slow Charging,2025-12-25
433,539,5,No Complaint,2026-03-29
434,1653,2,Port Not Working,2026-03-10
435,884,4,No Complaint,2025-07-24
436,795,5,No Complaint,2025-05-11
437,1507,5,No Complaint,2025-12-31
438,1669,3,Slow Charging,2025-10-27
439,552,3,No Complaint,2026-01-30
440,377,4,Slow Charging,2025-06-14
441,897,3,Slow Charging,2026-01-05
442,263,4,Slow Charging,2026-04-23
443,1331,3,No Complaint,2026-02-16
444,1874,3,Slow Charging,2025-11-17
445,430,3,No Complaint,2026-03-27
446,838,3,No Complaint,2026-03-23
447,1840,2,Long Wait Time,2026-03-14
448,592,2,Long Wait Time,2026-03-31
449,1128,1,Port Not Working,2025-12-13
450,493,3,No Complaint,2025-10-11
451,97,4,No Complaint,2025-11-28
452,192,1,Slow Charging,2025-08-06
453,1255,3,No Complaint,2025-11-09
454,118,1,Slow Charging,2026-01-14
455,1503,3,No Complaint,2025-07-13
456,829,5,No Complaint,2025-09-14
457,805,2,Port Not Working,2025-12-09
458,690,2,Long Wait Time,2025-10-17
459,1996,5,No Complaint,2026-02-15
460,627,5,No Complaint,2025-05-31
461,490,3,No Complaint,2025-12-24
462,434,2,Poor App Experience,2025-10-29
463,501,1,Long Wait Time,2025-10-25
464,1144,4,No Complaint,2025-09-01
465,1131,2,Payment Failure,2025-09-10
466,1047,2,Long Wait Time,2025-07-31
467,495,4,Slow Charging,2026-04-30
468,1800,4,No Complaint,2026-01-06
469,1801,1,Slow Charging,2025-10-02
470,1489,4,No Complaint,2026-03-01
471,903,4,No Complaint,2025-10-28
472,129,5,No Complaint,2025-12-07
473,1827,3,No Complaint,2026-01-30
474,531,5,No Complaint,2026-02-09
475,495,5,Slow Charging,2025-08-03
476,562,1,Payment Failure,2025-10-22
477,377,4,Slow Charging,2025-06-19
478,1760,1,Payment Failure,2026-01-01
479,1801,1,Long Wait Time,2026-03-07
480,1349,5,No Complaint,2025-07-03
481,574,4,Slow Charging,2025-11-17
482,20,5,Slow Charging,2025-10-14
483,718,1,Port Not Working,2025-12-30
484,460,5,No Complaint,2026-03-02
485,1166,3,No Complaint,2025-06-27
486,990,3,Slow Charging,2026-02-10
487,147,4,No Complaint,2026-03-02
488,896,2,Poor App Experience,2025-05-28
489,442,1,Long Wait Time,2025-06-17
490,263,1,Slow Charging,2025-12-02
491,996,1,Long Wait Time,2026-01-29
492,1982,1,Slow Charging,2025-05-11
493,944,2,Payment Failure,2025-07-16
494,1418,2,Port Not Working,2025-08-21
495,1310,1,Slow Charging,2025-06-26
496,824,2,Payment Failure,2025-05-12
497,1568,2,Poor App Experience,2025-11-01
498,538,3,Slow Charging,2025-06-22
499,602,1,Poor App Experience,2026-02-23
500,894,5,Slow Charging,2025-12-12
501,645,5,No Complaint,2025-12-20
502,1093,1,Slow Charging,2026-04-05
503,210,3,No Complaint,2026-02-10
504,1076,3,No Complaint,2025-10-21
505,898,5,No Complaint,2025-05-31
506,417,2,Payment Failure,2025-12-24
507,1634,4,Slow Charging,2025-07-20
508,1405,5,No Complaint,2025-07-29
509,1654,4,No Complaint,2025-09-10
510,131,5,No Complaint,2026-04-09
511,82,4,Slow Charging,2026-04-02
512,1749,2,Port Not Working,2026-01-18
513,1521,4,No Complaint,2025-11-02
514,1951,5,No Complaint,2025-12-19
515,925,1,Long Wait Time,2025-12-30
516,1619,2,Payment Failure,2025-10-19
517,647,5,No Complaint,2025-06-02
518,980,1,Port Not Working,2025-07-28
519,54,1,Long Wait Time,2025-09-27
520,960,2,Port Not Working,2025-08-16
521,755,3,No Complaint,2025-07-04
522,1368,5,No Complaint,2026-01-26
523,656,5,Slow Charging,2025-09-09
524,562,5,Slow Charging,2025-10-06
525,1425,4,No Complaint,2025-07-11
526,1696,2,Poor App Experience,2025-11-03
527,1528,3,No Complaint,2025-06-27
528,1187,2,Long Wait Time,2025-07-26
529,821,4,No Complaint,2025-08-15
530,1679,3,No Complaint,2026-04-15
531,958,5,No Complaint,2025-11-30
532,1551,1,Poor App Experience,2025-11-03
533,574,1,Port Not Working,2025-10-06
534,1462,3,No Complaint,2025-10-27
535,1876,1,Long Wait Time,2025-06-15
536,813,2,Payment Failure,2025-12-27
537,751,2,Poor App Experience,2026-02-13
538,1037,4,No Complaint,2026-02-19
539,149,1,Payment Failure,2025-08-31
540,622,1,Poor App Experience,2026-04-03
541,651,4,No Complaint,2026-01-05
542,593,5,Slow Charging,2026-03-20
543,1650,5,No Complaint,2026-02-21
544,790,4,Slow Charging,2025-11-10
545,888,1,Slow Charging,2026-04-24
546,460,5,No Complaint,2025-07-25
547,1413,1,Payment Failure,2025-10-17
548,65,1,Long Wait Time,2025-10-22
549,1648,2,Slow Charging,2025-07-24
550,977,4,No Complaint,2025-10-31
551,59,2,Port Not Working,2025-06-26
552,911,3,No Complaint,2025-11-01
553,1748,1,Slow Charging,2025-07-31
554,567,4,No Complaint,2025-10-20
555,1893,3,Slow Charging,2026-03-11
556,870,2,Slow Charging,2025-10-12
557,1236,3,Slow Charging,2026-03-21
558,1207,4,Slow Charging,2026-04-07
559,166,5,No Complaint,2026-01-04
560,825,2,Payment Failure,2025-07-21
561,1530,1,Slow Charging,2026-04-15
562,1234,3,No Complaint,2026-03-28
563,851,3,Slow Charging,2026-02-25
564,1867,5,No Complaint,2025-11-07
565,1067,2,Long Wait Time,2026-04-17
566,1814,2,Long Wait Time,2025-10-25
567,1745,3,No Complaint,2025-08-03
568,77,3,No Complaint,2025-08-09
569,199,2,Payment Failure,2026-03-23
570,967,5,No Complaint,2025-12-23
571,1269,2,Slow Charging,2025-05-08
572,1977,1,Poor App Experience,2025-06-16
573,1800,3,Slow Charging,2025-05-13
574,45,5,No Complaint,2025-11-27
575,1392,4,No Complaint,2025-10-04
576,36,3,Slow Charging,2025-08-27
577,740,3,Slow Charging,2026-02-26
578,982,3,Slow Charging,2025-10-01
579,1208,3,No Complaint,2026-02-10
580,1512,1,Long Wait Time,2025-08-25
581,1035,2,Long Wait Time,2026-03-28
582,531,5,No Complaint,2025-08-17
583,855,1,Poor App Experience,2025-10-22
584,772,3,No Complaint,2026-02-25
585,626,3,No Complaint,2026-03-20
586,147,5,No Complaint,2026-01-01
587,1748,5,No Complaint,2025-07-03
588,1584,4,No Complaint,2025-07-26
589,1912,3,Slow Charging,2025-07-18
590,1976,2,Long Wait Time,2025-09-01
591,228,4,Slow Charging,2025-08-17
592,169,3,Slow Charging,2025-11-08
593,1024,4,No Complaint,2026-01-20
594,945,1,Payment Failure,2026-01-07
595,1215,3,Slow Charging,2025-06-08
596,543,4,Slow Charging,2026-03-30
597,1860,4,No Complaint,2025-06-07
598,1891,2,Port Not Working,2025-12-06
599,1478,4,No Complaint,2026-01-27
600,823,1,Port Not Working,2026-01-28
601,1012,1,Payment Failure,2025-05-30
602,1732,1,Slow Charging,2025-09-16
603,1395,4,Slow Charging,2026-03-15
604,1579,3,Slow Charging,2025-05-10
605,1206,1,Payment Failure,2025-09-16
606,1624,5,Slow Charging,2025-11-25
607,202,4,No Complaint,2025-09-07
608,345,1,Port Not Working,2025-07-18
609,1393,3,No Complaint,2026-01-26
610,249,5,Slow Charging,2026-04-17
611,855,3,Slow Charging,2026-04-07
612,1510,3,No Complaint,2025-05-13
613,167,3,No Complaint,2025-11-02
614,353,5,Slow Charging,2025-09-09
615,1956,3,No Complaint,2025-08-18
616,1483,1,Long Wait Time,2025-10-18
617,317,2,Long Wait Time,2025-07-31
618,1200,5,Slow Charging,2025-06-09
619,1464,3,No Complaint,2026-01-30
620,1766,3,Slow Charging,2025-11-28
621,360,1,Port Not Working,2025-10-06
622,1946,4,No Complaint,2025-07-26
623,1365,2,Long Wait Time,2025-07-26
624,423,2,Poor App Experience,2025-11-24
625,519,3,No Complaint,2026-01-09
626,191,4,No Complaint,2025-06-11
627,518,1,Port Not Working,2025-09-20
628,1343,3,Slow Charging,2025-07-23
629,297,4,No Complaint,2025-08-10
630,1734,4,No Complaint,2025-11-04
631,72,1,Payment Failure,2025-12-02
632,51,4,No Complaint,2025-08-17
633,1287,5,No Complaint,2025-08-06
634,1918,2,Long Wait Time,2025-07-12
635,1959,4,Slow Charging,2026-03-28
636,520,5,No Complaint,2025-07-14
637,1768,5,Slow Charging,2026-03-10
638,1809,4,No Complaint,2025-10-15
639,1229,3,No Complaint,2026-04-12
640,1575,4,No Complaint,2025-10-08
641,1960,1,Long Wait Time,2025-07-20
642,800,5,Slow Charging,2026-04-08
643,1,4,Slow Charging,2025-05-29
644,136,1,Long Wait Time,2026-01-05
645,81,2,Slow Charging,2025-10-21
646,1588,2,Payment Failure,2025-12-22
647,365,5,No Complaint,2025-05-17
648,689,3,No Complaint,2025-08-06
649,1457,1,Long Wait Time,2025-05-07
650,1475,5,Slow Charging,2025-10-24
651,1663,1,Poor App Experience,2025-11-21
652,1884,2,Poor App Experience,2025-10-02
653,1373,1,Long Wait Time,2025-06-02
654,1569,3,No Complaint,2025-06-29
655,1935,1,Payment Failure,2026-01-08
656,838,4,No Complaint,2025-06-17
657,671,5,Slow Charging,2025-09-02
658,208,5,No Complaint,2025-12-12
659,671,5,No Complaint,2026-01-21
660,1891,2,Poor App Experience,2025-07-01
661,715,5,Slow Charging,2025-09-07
662,857,3,No Complaint,2025-10-14
663,1939,5,Slow Charging,2025-08-19
664,548,1,Poor App Experience,2025-06-02
665,1064,1,Payment Failure,2026-04-20
666,215,4,No Complaint,2025-12-07
667,1712,5,No Complaint,2026-01-01
668,503,5,No Complaint,2025-11-22
669,1579,3,No Complaint,2025-10-13
670,833,5,No Complaint,2025-11-17
671,548,2,Slow Charging,2025-06-14
672,488,5,No Complaint,2025-12-13
673,273,5,Slow Charging,2025-11-11
674,533,5,Slow Charging,2025-12-16
675,985,2,Poor App Experience,2026-02-25
676,856,2,Port Not Working,2025-10-29
677,1429,3,No Complaint,2025-07-13
678,72,1,Payment Failure,2026-03-02
679,1635,2,Long Wait Time,2025-09-07
680,1344,1,Port Not Working,2025-11-19
681,1293,2,Long Wait Time,2025-08-24
682,1370,1,Port Not Working,2026-04-07
683,774,3,No Complaint,2026-04-22
684,828,4,No Complaint,2025-07-29
685,491,4,No Complaint,2026-01-30
686,949,5,No Complaint,2025-08-08
687,593,1,Long Wait Time,2025-07-15
688,1458,2,Payment Failure,2025-06-23
