log_id,station_id,issue_type,downtime_hours,repair_cost,issue_date
151,35,Software Error,10,3592.9825,10-05-2025
152,18,Network Issue,12,11660.1075,27-04-2025
153,7,Software Error,24,7056.3925,25-08-2024
154,7,Software Error,3,4241.1175,02-03-2025
155,39,Power Outage,31,2703.455,30-03-2025
156,47,Port Failure,26,8774.5025,03-12-2025
157,27,Power Outage,24,9363.39,26-02-2026
158,14,Port Failure,8,3175.535,04-04-2026
159,46,Network Issue,1,5420.4975,26-01-2026
160,16,Cooling Failure,29,4033.5225,21-04-2026
161,50,Port Failure,43,7794.02,04-08-2025
162,17,Software Error,12,6595.2625,25-01-2025
163,9,Port Failure,12,4236.48,05-07-2025
164,13,Port Failure,15,8143.5075,27-10-2025
165,25,Software Error,12,1217.1125,29-04-2026
166,21,Power Outage,2,11362.0225,13-08-2025
167,35,Cooling Failure,9,6373.0375,29-03-2025
168,20,Power Outage,48,6058.46,28-01-2025
169,13,Power Outage,47,5586.295,20-09-2025
170,21,Cooling Failure,10,6269.405,27-02-2026
171,42,Power Outage,43,7928.6,30-11-2024
172,36,Software Error,34,11476.455,28-09-2024
173,22,Port Failure,47,7962.85,09-01-2025
174,8,Cooling Failure,29,11616.0325,17-08-2025
175,30,Cooling Failure,28,667.3325,26-07-2025
176,11,Network Issue,24,2958.905,01-08-2024
177,30,Software Error,32,3933.6175,08-11-2024
178,29,Power Outage,19,11037.9525,29-05-2024
179,23,Network Issue,14,5006.7925,23-10-2025
180,26,Network Issue,3,9869.2225,01-09-2024
181,3,Network Issue,20,7668.4275,11-12-2025
182,17,Port Failure,1,7212.6225,19-11-2024
183,6,Network Issue,19,5607.8275,06-05-2024
184,35,Software Error,30,11945.9925,26-11-2025
185,35,Network Issue,48,4059.1575,29-08-2024
186,25,Network Issue,6,7770.3275,05-12-2025
187,5,Software Error,48,3927.5625,06-08-2024
188,47,Port Failure,13,9178.025,02-02-2026
189,31,Power Outage,24,8868.955,11-08-2024
190,42,Port Failure,14,11629.21,10-03-2026
191,40,Network Issue,13,9793.3225,21-07-2025
192,33,Network Issue,12,4864.3175,31-03-2026
193,13,Network Issue,30,11723.29,08-11-2025
194,15,Cooling Failure,48,9556.375,29-06-2024
195,32,Network Issue,34,8510.13,10-09-2025
196,36,Port Failure,2,7529.1325,21-05-2025
197,27,Software Error,11,2940.475,27-10-2024
198,17,Port Failure,9,1692.89,22-03-2025
199,43,Power Outage,12,3400.49,24-08-2025
200,18,Power Outage,1,11083.455,10-08-2024
201,18,Power Outage,41,505.2825,30-04-2025
202,30,Port Failure,9,10639.6075,17-03-2025
203,48,Software Error,8,4332.47,24-01-2026
204,25,Cooling Failure,26,10824.4625,31-08-2024
205,50,Power Outage,46,5429.735,02-08-2024
206,8,Network Issue,14,2793.6875,18-05-2024
207,23,Port Failure,16,1345.775,10-07-2025
208,14,Software Error,26,3069.515,06-08-2024
209,22,Cooling Failure,38,11766.445,16-12-2024
210,24,Cooling Failure,31,6545.2725,25-03-2025
211,49,Cooling Failure,31,9121.855,17-06-2025
212,25,Software Error,7,5752.185,27-08-2025
213,50,Power Outage,27,1854.5475,07-01-2025
214,50,Network Issue,17,2419.725,02-07-2025
215,47,Port Failure,7,1224.1775,02-08-2024
216,37,Network Issue,27,923.235,31-12-2024
217,18,Network Issue,6,12180.5225,25-08-2024
218,41,Cooling Failure,16,5383.0525,05-02-2025
219,10,Cooling Failure,3,5129.0925,20-10-2024
220,28,Port Failure,6,10654.985,17-05-2025
221,49,Port Failure,3,1603.065,08-09-2025
222,29,Power Outage,18,1860.0975,31-07-2025
223,48,Network Issue,33,12396.5875,05-01-2026
224,49,Software Error,38,3665.9175,20-04-2025
225,30,Port Failure,15,1191.8475,06-07-2025
226,6,Port Failure,47,5371.875,14-10-2025
227,1,Port Failure,15,9495.08,25-09-2024
228,34,Network Issue,22,6182.0225,22-11-2024
229,31,Cooling Failure,3,1880.18,12-05-2024
230,18,Power Outage,21,4731.135,13-08-2025
231,38,Port Failure,24,3166.3025,03-01-2025
232,48,Software Error,9,8249.61,22-06-2024
233,27,Power Outage,28,1013.14,09-04-2026
234,35,Port Failure,2,6241.425,10-01-2026
235,47,Port Failure,47,10277.01,01-09-2025
236,45,Cooling Failure,23,7328.0325,31-08-2024
237,48,Network Issue,19,9193.0275,30-10-2025
238,3,Power Outage,18,5807.815,24-07-2025
239,35,Power Outage,36,6403.265,27-05-2025
240,17,Software Error,41,4742.8325,20-07-2024
241,12,Port Failure,1,3842.8375,22-08-2025
242,46,Port Failure,23,4289.995,11-05-2025
243,12,Network Issue,48,4210.66,16-08-2024
244,26,Cooling Failure,22,12099.355,14-01-2025
245,47,Network Issue,24,9642.5925,19-09-2024
246,25,Cooling Failure,40,10349.0325,20-12-2024
247,17,Software Error,17,852.34,20-09-2024
248,29,Network Issue,33,11896.9775,26-06-2025
249,5,Power Outage,30,4489.4775,29-01-2026
250,28,Network Issue,7,4485.6525,16-04-2026
251,11,Power Outage,2,3643.625,25-05-2025
252,18,Software Error,33,9810.8375,29-10-2025
253,23,Cooling Failure,41,5601.0575,10-12-2024
254,49,Software Error,35,11159.61,08-07-2025
255,22,Port Failure,20,3183.2125,10-01-2026
256,46,Port Failure,11,3907.1825,09-06-2024
257,28,Cooling Failure,3,6205.5425,16-02-2026
258,5,Power Outage,36,2939.095,02-05-2026
259,39,Software Error,45,7890.775,01-11-2025
260,24,Cooling Failure,42,9311.46,26-08-2025
261,17,Cooling Failure,29,10903.865,09-01-2026
262,1,Power Outage,22,6499.0575,25-03-2025
263,32,Power Outage,17,8325.2075,26-11-2024
264,14,Software Error,6,11463.8875,13-09-2025
265,33,Cooling Failure,27,6744.04,21-02-2026
266,13,Software Error,28,11568.61,17-02-2025
267,32,Network Issue,48,3762.4475,21-10-2024
268,10,Software Error,41,10353.7725,03-09-2025
269,43,Port Failure,19,4258.2425,20-06-2025
270,6,Port Failure,31,9941.245,09-04-2025
271,24,Software Error,31,2376.845,03-11-2024
272,36,Cooling Failure,13,1819.3525,28-07-2024
273,34,Power Outage,8,2686.2825,25-07-2024
274,44,Software Error,4,7055.6375,23-12-2025
275,43,Power Outage,16,9162.4875,02-03-2025
276,13,Software Error,27,6302.5325,13-11-2025
277,22,Software Error,25,7446.7925,16-02-2026
278,10,Power Outage,9,2018.0025,09-12-2024
279,15,Cooling Failure,10,6008.7975,17-07-2025
280,46,Software Error,22,10691.88,14-01-2026
281,4,Software Error,34,5576.12,17-06-2024
282,2,Power Outage,31,7629.95,07-08-2024
283,33,Port Failure,48,5851.165,02-02-2025
284,42,Port Failure,14,9698.455,03-06-2024
285,28,Port Failure,2,9032.2575,20-09-2025
286,9,Port Failure,19,9626.68,18-06-2025
287,28,Software Error,4,5537.1925,19-02-2026
288,35,Cooling Failure,10,6709.09,10-11-2025
289,23,Cooling Failure,46,9071.5175,18-06-2025
290,45,Power Outage,34,7505.93,21-06-2025
291,31,Power Outage,23,9981.6225,12-04-2025
292,41,Network Issue,11,10597.1875,10-08-2024
293,3,Network Issue,43,3019.95,24-05-2025
294,40,Software Error,39,6647.07,29-04-2025
295,26,Power Outage,15,4962.1075,03-02-2025
296,15,Software Error,6,3392.6275,10-10-2025
297,22,Cooling Failure,34,2612.15,26-09-2024
298,33,Port Failure,23,3306.92,10-06-2024
299,35,Port Failure,21,11168.39,19-04-2025
300,18,Cooling Failure,36,8337.125,27-11-2024
301,7,Port Failure,4,5369.6625,21-01-2025
302,14,Network Issue,10,1202.0625,09-03-2026
303,4,Software Error,20,1750.865,25-10-2024
304,38,Network Issue,42,8024.105,02-10-2024
305,37,Network Issue,14,5146.675,17-03-2025
306,48,Cooling Failure,3,2823.7425,18-09-2025
307,8,Power Outage,12,5530.33,15-02-2025
308,48,Port Failure,26,11981.31,04-06-2024
309,10,Cooling Failure,3,2021.1975,17-02-2025
310,17,Software Error,3,3722.3325,10-05-2024
311,38,Network Issue,43,10346.855,08-12-2025
312,37,Power Outage,16,8748.355,15-09-2024
313,7,Port Failure,32,8387.885,19-03-2026
314,21,Software Error,9,2867.055,11-06-2025
315,12,Power Outage,35,1581.905,13-11-2025
316,24,Software Error,41,6016.2225,19-12-2025
317,25,Power Outage,23,10215.5825,16-09-2025
318,12,Software Error,24,9570.7925,05-01-2026
319,18,Power Outage,11,10839.165,08-11-2025
320,18,Cooling Failure,45,4787.465,19-03-2025
321,21,Cooling Failure,31,2577.34,21-04-2025
322,38,Network Issue,12,9717.7925,31-12-2025
323,35,Cooling Failure,40,8402.735,20-03-2025
324,34,Power Outage,30,2501.94,05-02-2025
325,36,Software Error,44,6702.56,21-10-2024
326,29,Software Error,3,11418.41,30-01-2025
327,9,Power Outage,18,7016.6825,07-08-2024
328,9,Power Outage,10,10383.16,25-12-2024
329,15,Cooling Failure,6,10982.6825,23-12-2025
330,9,Network Issue,4,3258.015,09-03-2026
331,36,Network Issue,34,4090.09,13-08-2024
332,43,Port Failure,28,8485.405,24-06-2024
333,34,Software Error,27,11085.3375,17-11-2024
334,27,Power Outage,42,7807.5325,02-04-2026
335,39,Port Failure,19,9896.7825,19-02-2026
336,27,Network Issue,28,10550.87,15-05-2025
337,9,Port Failure,21,10697.6075,12-08-2025
338,22,Software Error,25,7451.85,23-08-2024
339,22,Network Issue,24,3240.705,09-04-2025
340,13,Power Outage,36,1887.1575,10-06-2024
341,45,Software Error,28,1864.16,18-07-2025
342,39,Power Outage,33,9341.96,02-05-2025
343,48,Port Failure,41,4576.675,14-08-2024
344,41,Software Error,47,7160.04,16-06-2025
345,33,Cooling Failure,19,7372.17,28-10-2025
346,29,Software Error,23,6767.285,24-01-2026
347,30,Cooling Failure,14,12191.9925,07-02-2025
348,37,Cooling Failure,11,9326.6775,23-04-2026
349,28,Port Failure,5,11502.455,12-06-2024
350,13,Cooling Failure,7,5133.7225,29-12-2024
351,8,Network Issue,22,9494.0875,11-11-2025
352,24,Port Failure,48,11173.24,28-12-2024
353,46,Cooling Failure,33,1186.795,26-08-2025
354,36,Software Error,29,11381.3925,23-07-2024
355,41,Port Failure,19,12375.6275,27-08-2024
356,1,Cooling Failure,28,9256.5775,08-06-2024
357,26,Power Outage,18,8412.965,21-12-2025
358,3,Cooling Failure,23,1031.235,02-07-2024
359,11,Port Failure,4,6781.5025,13-09-2025
360,14,Network Issue,10,10338.9375,10-04-2025
361,48,Power Outage,26,11110.62,14-02-2026
362,41,Network Issue,4,1167.06,11-05-2024
363,50,Software Error,41,6653.19,03-02-2026
364,23,Software Error,44,3729.61,21-09-2024
365,22,Software Error,2,2320.7075,17-01-2026
366,46,Software Error,2,809.7825,12-09-2024
367,1,Software Error,45,1020.8325,10-05-2024
368,33,Power Outage,44,8216.9275,22-01-2025
369,48,Software Error,41,3296.805,20-10-2024
370,41,Network Issue,20,7695.62,06-05-2024
371,14,Cooling Failure,31,9622.5025,16-06-2024
372,16,Network Issue,33,4441.7025,07-02-2026
373,27,Network Issue,4,7839.8775,03-01-2026
374,32,Software Error,41,9077.0425,25-01-2025
375,49,Power Outage,26,4006.1,28-10-2025
376,32,Power Outage,29,5462.175,29-07-2024
377,4,Port Failure,6,8196.045,13-01-2025
378,36,Software Error,18,7999.465,06-10-2024
379,46,Port Failure,38,10644.0325,31-03-2025
380,28,Software Error,41,4758.2475,11-08-2025
381,32,Port Failure,23,3572.875,13-11-2025
382,2,Software Error,4,4281.47,12-04-2026
383,2,Network Issue,1,9564.7575,04-06-2025
384,24,Network Issue,46,8212.0625,03-06-2024
385,3,Power Outage,16,4174.835,02-08-2024
386,40,Port Failure,37,9210.7975,27-11-2024
387,24,Power Outage,47,538.69,09-11-2024
388,29,Power Outage,30,11949.5625,15-02-2026
389,23,Software Error,2,11875.6025,30-03-2025
390,18,Network Issue,17,12394.685,26-08-2025
391,9,Software Error,21,9158.64,07-03-2025
392,21,Port Failure,34,2783.97,16-12-2025
393,24,Software Error,8,10948.65,06-11-2024
394,27,Power Outage,43,584.4975,15-03-2025
395,36,Software Error,39,7170.265,11-04-2025
396,29,Power Outage,23,7981.625,02-04-2025
397,36,Cooling Failure,41,11741.05,25-05-2025
398,4,Cooling Failure,26,5595.0975,20-08-2025
399,18,Port Failure,13,5581.8775,09-06-2024
400,13,Cooling Failure,34,4265.105,03-05-2026
401,10,Network Issue,31,5773.355,05-03-2025
402,13,Software Error,25,9656.37,19-09-2025
403,7,Power Outage,36,6618.5125,06-05-2024
404,29,Power Outage,30,4493.87,01-12-2024
405,34,Network Issue,19,9346.4625,21-07-2025
406,38,Port Failure,8,5532.4,03-08-2024
407,7,Software Error,31,8298.0725,12-04-2025
408,45,Power Outage,32,2638.14,15-03-2026
409,5,Network Issue,38,1343.5025,05-02-2026
410,13,Power Outage,7,10987.2825,21-11-2024
411,1,Network Issue,44,5776.955,05-12-2025
412,31,Port Failure,7,2345.2925,14-12-2025
413,3,Software Error,10,3914.4575,25-03-2025
414,12,Port Failure,24,7841.08,21-01-2025
415,45,Port Failure,26,7086.045,12-10-2024
416,15,Software Error,2,10695.05,04-05-2025
417,27,Network Issue,12,7478.5025,05-11-2024
418,8,Network Issue,36,9178.01,20-03-2025
419,39,Software Error,15,7032.365,03-08-2024
420,17,Port Failure,3,10319.14,21-09-2024
421,33,Cooling Failure,9,10771.8975,11-12-2025
422,41,Software Error,39,12099.8225,16-01-2026
423,44,Software Error,14,10047.6925,28-04-2025
424,17,Network Issue,7,10025.0375,14-04-2026
425,4,Port Failure,41,8669.7575,15-09-2024
426,12,Power Outage,9,7551.6275,10-05-2025
427,7,Software Error,27,3034.85,12-11-2024
428,45,Power Outage,17,3031.98,07-11-2024
429,20,Port Failure,12,727.9225,10-04-2025
430,24,Network Issue,35,10908.515,16-06-2025
431,5,Network Issue,40,3305.965,30-03-2025
432,3,Port Failure,15,9473.5475,22-08-2025
433,23,Cooling Failure,10,745.675,19-09-2024
434,17,Port Failure,17,6918.5025,23-12-2024
435,18,Port Failure,20,8996.3175,15-09-2024
436,14,Port Failure,33,6460.2675,16-06-2025
437,23,Power Outage,23,12019.9125,08-10-2024
438,50,Power Outage,3,9653.93,31-07-2025
439,50,Power Outage,41,8526.645,26-08-2025
440,21,Cooling Failure,36,10502.9375,22-02-2026
441,17,Software Error,21,5308.635,07-12-2025
442,26,Port Failure,24,6198.86,01-03-2026
443,49,Software Error,46,1593.1225,17-02-2026
444,43,Power Outage,16,1794.22,11-07-2024
445,7,Cooling Failure,42,2325.9625,11-10-2024
446,36,Power Outage,33,3788.8525,21-06-2025
447,15,Cooling Failure,24,9568.965,06-11-2024
448,15,Port Failure,45,12448.525,01-07-2025
449,36,Network Issue,1,1676.9825,06-03-2026
450,11,Software Error,26,3305.385,18-12-2025
451,41,Software Error,15,2201.1575,01-08-2025
452,27,Network Issue,6,9389.09,09-02-2026
453,2,Software Error,1,1011.35,14-12-2025
454,40,Cooling Failure,1,10674.285,13-08-2025
455,29,Network Issue,14,9311.4975,13-08-2025
456,46,Port Failure,34,780.555,12-08-2024
457,35,Port Failure,48,9390.9275,03-03-2025
458,31,Power Outage,17,1348.8775,03-08-2024
459,6,Port Failure,30,9707.905,13-09-2024
460,11,Software Error,47,11194.9625,25-09-2024
461,46,Network Issue,35,4040.155,01-02-2025
462,26,Software Error,28,7941.47,05-10-2025
463,5,Network Issue,38,6034.38,21-02-2026
464,34,Power Outage,13,6619.6275,07-09-2025
465,50,Software Error,18,3806.02,31-03-2025
466,6,Cooling Failure,31,9638.7675,29-10-2024
467,4,Cooling Failure,16,688.0975,07-12-2024
468,39,Network Issue,6,3085.275,03-03-2026
469,23,Port Failure,44,2354.6125,30-01-2025
470,5,Network Issue,39,1433.3625,12-03-2026
471,38,Power Outage,33,9926.8025,23-04-2025
472,27,Software Error,21,4147.85,02-05-2025
473,34,Software Error,36,5617.5625,14-11-2024
474,9,Power Outage,13,3063.59,02-10-2024
475,20,Cooling Failure,3,10998.5425,14-09-2024
476,9,Software Error,23,7265.08,23-08-2025
477,25,Port Failure,38,671.3725,20-02-2025
478,24,Power Outage,11,9171.035,01-04-2025
479,43,Power Outage,7,3900.4325,12-07-2025
480,30,Network Issue,40,4504.7825,16-10-2025
481,34,Network Issue,5,4319.73,13-11-2024
482,45,Port Failure,1,2463.4375,14-09-2024
483,2,Software Error,34,6675.21,26-09-2025
484,11,Port Failure,7,5425.45,20-01-2025
485,13,Cooling Failure,18,686.145,02-11-2025
486,8,Power Outage,26,3514.345,30-10-2024
487,34,Network Issue,16,3769.94,01-11-2025
488,40,Software Error,44,8024.8925,09-05-2025
489,14,Cooling Failure,7,8454.88,06-01-2025
490,42,Port Failure,47,7316.3275,23-01-2026
491,14,Port Failure,1,4157.025,05-05-2024
492,5,Port Failure,7,11416.7325,03-05-2026
493,40,Network Issue,19,6528.8325,13-01-2026
494,40,Power Outage,1,5441.91,14-03-2026
495,39,Network Issue,48,11943.075,10-05-2024
496,33,Power Outage,27,10624.45,18-11-2024
497,39,Cooling Failure,4,7929.56,30-08-2025
498,8,Power Outage,35,9689.7675,05-01-2026
499,4,Software Error,18,8263.885,16-06-2024
500,6,Software Error,27,3113.445,05-10-2025
501,43,Port Failure,4,5673.3925,28-12-2024
502,16,Port Failure,14,3257.185,20-05-2025
503,14,Cooling Failure,15,2826.4125,31-10-2024
504,5,Network Issue,32,7055.4325,19-07-2025
505,17,Network Issue,41,7472.1075,15-11-2024
506,33,Power Outage,13,7008.0825,22-06-2025
507,32,Power Outage,20,6818.9325,26-06-2025
508,13,Software Error,8,3716.575,15-08-2025
509,5,Power Outage,32,7939.8125,03-12-2025
510,7,Cooling Failure,44,4003.465,23-10-2024
511,49,Network Issue,36,10583.54,24-11-2025
512,49,Port Failure,30,3902.165,02-02-2026
513,45,Port Failure,20,12011.625,22-09-2025
514,4,Power Outage,8,11313.08,24-12-2025
515,38,Software Error,6,3493.65,02-07-2024
516,4,Power Outage,37,6090.7625,14-03-2026
517,11,Software Error,26,1820.73,19-12-2024
518,25,Port Failure,16,4557.65,04-02-2025
519,30,Port Failure,27,4726.0475,05-03-2026
520,19,Power Outage,15,4428.3625,31-01-2026
521,7,Cooling Failure,15,3590.88,28-03-2025
522,39,Port Failure,16,11900.6125,24-12-2024
523,25,Power Outage,40,9496.41,11-05-2024
524,9,Cooling Failure,37,5778.8725,20-09-2025
525,11,Software Error,20,3976.06,22-10-2024
526,32,Port Failure,3,4214.2075,14-04-2026
527,11,Network Issue,29,1689.615,13-06-2025
528,4,Cooling Failure,11,7901.5875,06-12-2025
529,32,Software Error,20,6586.575,09-01-2025
530,2,Cooling Failure,25,12478.67,15-03-2026
531,3,Cooling Failure,18,3379.435,20-02-2025
532,41,Power Outage,28,2990.28,06-07-2025
533,17,Network Issue,18,11780.9525,17-11-2024
534,49,Cooling Failure,39,11692.9425,07-01-2026
535,40,Cooling Failure,32,8253.905,19-08-2024
536,7,Cooling Failure,21,5129.33,14-08-2025
537,27,Port Failure,32,711.5475,15-07-2025
538,48,Software Error,6,12103.5475,20-02-2025
539,36,Port Failure,2,2220.77,20-08-2024
540,13,Network Issue,5,10283.55,01-11-2025
541,3,Network Issue,1,6574.7375,17-10-2025
542,11,Power Outage,47,8868.2,18-07-2024
543,14,Power Outage,14,3137.155,18-07-2025
544,22,Power Outage,40,5869.35,06-03-2026
545,12,Port Failure,36,8214.3225,15-09-2024
546,12,Software Error,43,5103.7025,26-07-2025
547,37,Power Outage,47,5603.505,02-02-2026
548,45,Network Issue,40,10675.605,13-12-2024
549,5,Cooling Failure,18,6652.045,28-09-2025
550,47,Cooling Failure,24,3721.1575,18-09-2024
551,37,Power Outage,20,2463.84,13-03-2026
552,35,Software Error,41,4332.1375,28-10-2025
553,4,Software Error,35,10854.8,15-11-2025
554,41,Cooling Failure,47,6084.2625,10-08-2025
555,3,Network Issue,43,11755.515,12-05-2025
556,11,Software Error,30,4854.285,24-05-2025
557,35,Network Issue,30,6149.1425,03-10-2025
558,10,Network Issue,40,10272.8475,25-05-2025
559,33,Software Error,29,4564,30-06-2025
560,38,Cooling Failure,13,4133.3,21-04-2025
561,35,Cooling Failure,43,3444.5275,27-12-2025
562,46,Power Outage,33,8099.015,07-03-2025
563,24,Software Error,21,6336.2475,23-08-2024
564,33,Network Issue,24,3095.155,09-02-2026
565,16,Port Failure,43,11459.74,13-01-2025
566,20,Software Error,1,8869.11,24-08-2024
567,26,Cooling Failure,3,8492.225,13-08-2024
