session_id,customer_id,station_id,session_start,duration_minutes,energy_kwh,wait_time_minutes,amount_paid
125,757,8,2024-11-04 13:07:00,25,23.32,9,195.95
126,314,8,2024-07-09 09:23:00,48,41.5,0,660.35
127,292,38,2024-08-03 01:59:00,49,68.61,6,674.49
128,1515,32,2024-01-02 03:35:00,54,35.68,1,434.43
129,1174,20,2024-10-16 14:57:00,53,69.07,15,1128.92
130,1708,39,2024-03-08 04:32:00,91,92.35,14,1354.98
131,306,47,2024-06-15 02:51:00,89,106.63,13,1265.95
132,1844,26,2024-06-22 17:02:00,95,133.1,8,1924.51
133,1774,11,2024-12-28 00:36:00,90,118.49,9,1612.7
134,254,42,2024-10-13 02:12:00,89,96.8,1,1701.06
135,1069,13,2025-01-19 15:32:00,12,8.5,5,149.8
136,564,14,2024-05-05 22:53:00,84,83.98,10,1009.27
137,93,32,2025-03-17 00:21:00,65,49.56,0,822.52
138,650,25,2024-05-11 02:07:00,22,23.93,9,225.91
139,524,50,2024-02-15 04:19:00,62,75.07,1,1061.85
140,667,12,2024-01-14 22:03:00,48,45.65,10,430.23
141,1829,21,2024-05-12 12:52:00,25,16.17,7,250.98
142,1201,16,2024-09-09 16:48:00,74,70.04,3,748.93
143,652,30,2024-10-10 13:04:00,71,44.45,7,761.76
144,39,18,2024-10-10 18:43:00,22,18.08,45,262.44
145,258,20,2024-10-17 13:28:00,20,27.23,6,431.02
146,292,24,2024-10-03 05:50:00,41,44.44,13,782.74
147,1137,29,2024-01-22 00:52:00,69,101.09,9,1468.9
148,343,1,2024-01-31 15:17:00,86,71.02,12,1277.82
149,1726,41,2024-04-18 18:53:00,75,63.99,20,984.92
150,1154,5,2024-06-02 02:25:00,99,70.36,4,1073.04
151,573,28,2024-04-17 19:32:00,112,99.29,31,1424.98
152,1542,46,2024-08-19 08:15:00,94,139.56,10,1410.43
153,1965,39,2024-06-17 00:58:00,98,70.59,0,994.46
154,9,1,2024-12-10 05:26:00,81,113.87,15,1779.18
155,1103,6,2025-02-07 20:41:00,19,20.61,38,303.43
156,723,25,2025-02-27 19:22:00,59,44.81,10,414.39
157,759,13,2024-08-15 00:14:00,105,64.87,8,960.44
158,1453,23,2024-04-08 02:52:00,88,102.32,7,1058.25
159,1012,24,2024-01-19 08:31:00,100,123.63,6,997.86
160,1682,41,2024-07-21 03:55:00,45,50.05,15,485.72
161,397,43,2025-01-13 18:43:00,97,110.84,21,959.17
162,263,48,2024-02-03 04:16:00,82,112.33,8,1114.15
163,1389,2,2025-05-11 22:43:00,78,89.93,14,721.2
164,875,42,2024-12-10 20:03:00,119,171.94,37,2827.28
165,834,18,2024-03-03 21:33:00,69,72.18,1,1215.37
166,460,4,2024-05-22 13:34:00,67,59.27,12,589.5
167,168,37,2025-02-17 00:47:00,38,56.25,13,988.75
168,1879,16,2024-04-10 05:21:00,49,32.17,3,266.33
169,885,2,2024-10-30 20:59:00,52,70.54,25,640.39
170,489,22,2025-03-02 01:52:00,52,55.52,7,968.02
171,1589,39,2024-11-13 14:48:00,22,25.58,3,226.52
172,125,3,2024-07-12 10:56:00,118,144.44,4,1245.08
173,1644,29,2024-01-29 09:39:00,90,88.98,3,1314.74
174,1146,4,2024-05-30 12:25:00,22,25.42,13,262.62
175,1228,43,2024-11-15 00:29:00,59,60.05,13,1008.8
176,1269,7,2024-06-22 20:43:00,110,68.57,43,773.6
177,395,7,2024-02-22 00:38:00,101,66.74,6,1137.5
178,259,41,2024-09-17 08:22:00,63,65.1,14,641.84
179,282,3,2024-01-31 04:19:00,84,83.35,11,926.18
180,1813,35,2025-02-01 04:09:00,70,61.45,10,670.46
181,1988,1,2024-09-22 18:42:00,96,70.09,25,916.15
182,1711,36,2025-03-15 01:27:00,54,41.9,6,603.59
183,413,5,2024-06-23 06:42:00,70,85.77,14,1200.58
184,679,38,2024-10-16 10:39:00,48,46.89,5,424.28
185,1795,3,2024-09-10 07:58:00,10,11.75,7,148.82
186,437,16,2024-09-03 23:49:00,114,102.41,12,1029.54
187,378,1,2024-07-04 00:04:00,55,34.49,3,325.03
188,902,13,2024-11-19 18:58:00,107,98.86,11,987.73
189,582,12,2024-04-22 08:46:00,32,28.99,7,283.68
190,45,12,2025-03-07 08:58:00,22,13.62,4,160.57
191,1613,8,2024-06-22 06:19:00,68,55.5,11,810.8
192,1928,34,2025-05-15 19:56:00,65,90.39,14,830.23
193,1808,9,2025-02-10 06:12:00,78,73.35,11,820.02
194,880,41,2024-05-05 01:48:00,88,99.32,9,1578.78
195,672,16,2024-01-28 20:50:00,45,62.35,42,1102.59
196,1815,32,2024-04-17 23:05:00,110,112.6,2,1089.33
197,795,49,2025-03-27 20:48:00,75,70.26,43,888.27
198,660,46,2024-07-10 16:44:00,71,88.33,15,1125.11
199,1191,26,2024-11-22 18:41:00,14,11.01,22,137.85
200,481,26,2024-04-21 09:27:00,58,64.63,11,681.54
201,174,9,2025-01-19 02:18:00,66,70.42,7,974.59
202,953,33,2024-11-14 10:27:00,67,68.39,13,798.46
203,1019,21,2024-05-19 12:01:00,32,31.92,8,461.36
204,736,6,2024-05-30 16:32:00,79,93.16,8,1608.51
205,202,8,2024-02-06 11:02:00,79,61.64,6,909.26
206,513,20,2025-01-16 21:54:00,45,34.72,4,624.41
207,1541,46,2025-01-13 17:58:00,43,26.13,9,282.69
208,710,26,2025-04-29 12:52:00,84,107.69,0,1369.82
209,1050,49,2025-05-02 04:55:00,60,48.29,6,615.43
210,1057,38,2025-02-06 17:48:00,69,86.27,14,984.05
211,176,21,2025-03-09 06:27:00,108,156.36,13,1578.59
212,922,36,2024-01-16 11:08:00,83,115.07,9,2006.08
213,20,32,2025-02-18 21:53:00,55,49.82,13,610.65
214,1542,26,2025-01-25 22:34:00,48,42.89,0,586.55
215,66,9,2024-03-19 10:36:00,90,118.73,12,2113.6
216,419,26,2024-02-02 17:24:00,34,34.93,10,478.37
217,925,41,2025-04-03 09:05:00,31,21.51,5,178.98
218,1412,39,2024-09-07 00:11:00,35,23.19,12,251.34
219,478,19,2024-12-03 16:04:00,68,44.32,0,430.71
220,1761,27,2024-07-19 05:07:00,26,28.15,15,434.39
221,797,14,2024-03-07 06:19:00,65,86.85,15,832.7
222,1178,20,2024-10-27 06:32:00,101,122.85,8,1230.59
223,293,29,2024-02-02 12:38:00,113,92.9,10,1588.87
224,1801,32,2024-08-23 14:36:00,15,18.95,9,274.07
225,1882,30,2024-06-26 22:53:00,101,132.62,12,1873.96
226,1659,12,2024-07-31 07:11:00,89,112.13,14,1328.36
227,1350,12,2024-12-23 18:06:00,60,73.73,12,766.57
228,1783,11,2024-05-20 20:34:00,47,56.4,14,844.9
229,1480,14,2025-04-10 15:26:00,107,117.44,11,1029.4
230,216,33,2025-01-27 10:26:00,67,50.14,6,654.86
231,947,2,2024-02-07 20:44:00,96,122.38,34,1399.61
232,818,13,2024-07-22 01:00:00,42,29.54,4,332.95
233,1534,30,2024-09-05 14:04:00,20,21.87,7,331.02
234,897,9,2024-08-29 08:53:00,30,22.61,0,318.12
235,363,19,2024-03-04 17:47:00,60,45.1,0,666.3
236,315,29,2024-07-02 05:13:00,101,63.73,6,791.56
237,98,41,2025-02-19 16:41:00,94,117.01,3,1393.14
238,632,29,2024-01-27 19:00:00,16,20.72,22,358.21
239,768,16,2024-04-12 02:01:00,63,39.38,0,447.8
240,394,44,2024-12-08 02:14:00,22,28.98,5,441.66
241,91,27,2024-09-19 03:52:00,51,45.41,6,646.94
242,1914,35,2024-07-21 13:07:00,39,30.9,11,347.12
243,31,26,2024-11-30 10:00:00,59,46.7,7,404.43
244,1670,18,2024-11-28 19:23:00,15,9.91,23,120.02
245,1572,39,2024-09-12 03:45:00,78,102.35,5,1076.66
246,195,39,2024-06-15 20:44:00,59,71.4,18,808.28
247,1302,49,2025-03-28 22:20:00,118,141.57,2,1606.97
248,1247,38,2024-08-17 12:32:00,91,115.35,0,1191.11
249,1263,49,2025-04-04 03:19:00,40,50.56,7,717.83
250,123,9,2024-07-10 15:18:00,35,25.78,6,371.76
251,488,47,2024-11-02 14:47:00,52,37.48,10,541.06
252,1558,3,2024-09-23 13:41:00,114,98.0,0,1008.43
253,1501,22,2024-06-24 07:13:00,79,51.24,7,820.58
254,1426,47,2024-04-23 19:55:00,58,62.02,21,770.51
255,13,5,2025-03-21 15:04:00,34,21.99,4,382.25
256,258,6,2024-03-29 18:35:00,116,152.62,23,1581.62
257,161,28,2025-01-06 14:19:00,31,38.73,7,474.06
258,1241,16,2024-06-04 09:36:00,67,98.55,6,1056.32
259,1601,31,2024-02-10 11:25:00,58,43.56,14,532.61
260,1249,48,2024-08-09 04:52:00,111,114.75,12,1408.44
261,171,49,2025-04-09 09:38:00,78,57.53,5,608.26
262,950,20,2024-08-20 09:24:00,81,92.78,2,1051.41
263,1465,31,2024-04-10 04:58:00,34,20.53,11,265.14
264,1896,27,2025-04-26 12:47:00,57,53.9,9,776.73
265,1205,5,2024-07-28 01:58:00,25,23.66,5,235.23
266,894,17,2025-01-29 23:22:00,75,92.87,11,1389.76
267,1334,25,2025-04-19 13:47:00,41,33.54,1,577.38
268,741,41,2024-12-27 21:01:00,99,118.71,4,1259.91
269,933,44,2024-03-16 08:15:00,87,97.48,5,791.87
270,1579,6,2024-11-25 22:58:00,59,56.52,2,745.24
271,387,28,2024-03-25 13:16:00,98,85.46,12,1184.54
272,1504,27,2025-01-20 23:55:00,21,14.67,11,236.81
273,551,48,2024-04-17 23:25:00,99,86.85,5,1403.83
274,4,7,2024-02-05 22:26:00,77,75.09,9,1151.16
275,350,12,2024-07-10 05:45:00,27,21.01,5,273.68
276,226,29,2024-10-17 06:11:00,35,22.86,5,367.86
277,393,17,2025-04-06 13:28:00,90,127.95,3,2134.67
278,341,6,2024-05-30 02:24:00,25,21.23,10,176.14
279,481,31,2024-09-05 21:48:00,22,13.39,8,207.79
280,15,43,2024-10-25 01:06:00,37,39.59,0,465.45
281,1066,49,2024-05-16 15:30:00,106,95.75,13,1088.25
282,1397,22,2024-06-10 07:23:00,95,91.07,1,1616.77
283,1789,22,2025-02-16 03:00:00,68,94.08,12,1434.93
284,1819,9,2024-01-14 19:07:00,77,65.57,25,766.14
285,1267,44,2024-12-03 15:32:00,62,74.04,0,1322.49
286,1962,21,2024-01-09 20:23:00,15,22.09,30,326.47
287,479,39,2024-09-05 12:47:00,88,115.68,11,1420.45
288,1908,31,2024-12-03 22:57:00,22,27.74,9,390.35
289,1459,10,2025-03-21 16:56:00,83,108.43,1,1006.08
290,1632,6,2024-06-03 21:35:00,69,51.84,14,909.82
291,988,43,2024-10-03 07:15:00,37,27.88,2,252.44
292,1466,2,2024-03-23 10:57:00,59,76.09,7,1155.94
293,1364,31,2025-05-02 21:07:00,95,68.61,15,610.93
294,1417,22,2025-03-22 07:59:00,83,107.05,2,1545.79
295,773,46,2025-01-15 23:46:00,58,68.93,13,1108.7
296,458,17,2024-02-29 09:05:00,24,16.33,6,252.24
297,238,37,2024-07-07 04:54:00,50,72.93,0,810.11
298,1209,35,2024-04-07 12:27:00,50,64.71,4,854.01
299,1233,38,2024-04-23 03:25:00,11,11.93,14,133.13
300,1672,19,2025-03-04 07:31:00,97,97.99,9,926.86
301,1363,45,2024-01-18 19:20:00,49,51.55,17,553.36
302,1737,46,2024-10-20 15:40:00,116,92.12,9,1385.61
303,772,4,2025-02-18 10:09:00,115,143.19,7,2148.43
304,108,50,2024-04-01 15:46:00,60,52.15,5,934.04
305,1123,26,2024-06-21 13:43:00,70,104.39,12,1243.35
306,1082,47,2024-05-24 09:44:00,34,41.85,12,375.53
307,663,49,2025-02-09 18:55:00,113,73.3,29,921.77
308,336,37,2024-03-11 14:44:00,71,61.2,4,617.98
309,1648,48,2024-04-10 23:41:00,11,10.19,3,150.64
310,1759,10,2024-07-11 13:43:00,117,87.91,1,787.72
311,1996,31,2024-04-01 01:07:00,75,88.88,13,1572.93
312,1285,47,2024-07-25 07:02:00,25,20.42,15,225.17
313,1221,12,2024-11-30 23:24:00,109,133.27,2,2102.64
314,1772,42,2024-07-14 08:40:00,93,93.06,0,856.15
315,170,8,2024-09-07 20:42:00,75,60.18,40,646.17
316,1527,7,2025-02-10 18:11:00,59,61.11,37,671.21
317,257,7,2024-06-15 02:45:00,120,157.88,5,1902.98
318,1436,2,2024-07-20 17:52:00,78,101.8,15,879.48
319,1715,38,2024-10-02 22:52:00,111,131.7,6,2325.4
320,1839,8,2024-04-02 19:44:00,33,19.96,38,319.46
321,252,3,2024-03-06 18:13:00,93,69.29,45,732.23
322,1543,3,2024-02-13 03:32:00,48,44.51,5,544.38
323,1936,43,2024-01-01 07:19:00,15,21.77,9,317.66
324,912,9,2024-10-22 15:44:00,50,53.52,11,752.58
325,1046,14,2024-12-18 03:42:00,114,72.99,1,721.19
326,614,14,2025-05-05 04:38:00,80,63.55,11,684.68
327,1494,40,2024-08-04 02:35:00,42,35.05,5,420.62
328,171,17,2024-12-12 13:44:00,28,30.3,2,433.16
329,552,41,2024-12-22 20:12:00,101,94.43,42,1326.69
330,860,10,2024-06-10 13:24:00,13,19.08,7,167.43
331,256,35,2024-02-26 21:35:00,62,40.88,2,475.36
332,684,50,2024-05-19 04:55:00,112,89.96,0,807.79
333,1985,15,2024-07-12 03:50:00,25,18.95,9,263.18
334,1653,32,2024-02-18 16:22:00,99,110.38,9,1491.83
335,1245,7,2025-04-04 01:10:00,50,72.59,12,711.87
336,1651,48,2024-12-13 17:35:00,86,119.87,12,1530.57
337,262,17,2024-01-05 21:32:00,101,74.73,4,704.46
338,1163,48,2024-05-16 01:58:00,102,119.88,11,1807.19
339,511,44,2024-11-07 13:45:00,68,52.01,11,831.36
340,1029,19,2024-05-21 13:33:00,101,140.72,7,1555.22
341,1758,6,2025-04-30 09:26:00,108,95.2,2,1365.81
342,158,47,2024-05-02 02:10:00,83,54.09,9,732.47
343,1010,1,2025-05-07 13:43:00,75,107.94,4,1381.26
344,1055,44,2024-12-12 17:44:00,25,24.12,6,412.67
345,1528,1,2024-12-31 13:44:00,78,99.43,7,1783.99
346,1355,34,2024-12-16 19:02:00,87,87.33,20,1287.7
347,1807,49,2024-09-25 07:11:00,19,17.68,4,232.26
348,1951,4,2024-08-04 15:24:00,31,29.01,3,330.12
349,1391,16,2025-03-01 17:54:00,108,148.18,9,1628.76
350,602,17,2024-04-19 00:47:00,90,100.08,6,1724.43
351,1903,42,2024-09-20 01:59:00,69,96.82,15,830.23
352,13,40,2024-08-23 10:19:00,55,38.3,11,647.35
353,382,26,2024-06-30 00:06:00,65,67.78,2,900.86
354,1841,10,2024-07-29 03:58:00,72,43.65,8,447.89
355,810,24,2024-06-02 11:27:00,33,35.73,8,324.68
356,899,43,2025-03-05 14:10:00,27,24.8,13,199.84
357,1810,46,2024-04-11 03:12:00,46,29.27,12,357.4
358,679,3,2024-03-23 21:12:00,71,103.92,8,954.81
359,1002,36,2024-09-10 21:45:00,26,23.2,12,302.03
360,1892,48,2025-03-07 12:08:00,24,35.09,0,324.98
361,705,33,2024-01-07 21:15:00,16,19.37,10,238.19
362,1223,48,2024-01-05 13:30:00,47,40.14,2,626.55
363,508,40,2024-03-19 23:32:00,33,27.21,3,452.82
364,1436,16,2024-12-07 13:12:00,70,86.51,3,1298.64
365,1029,40,2024-04-02 06:54:00,85,99.11,4,1020.22
366,271,26,2024-01-20 08:12:00,28,27.54,6,245.36
367,105,25,2024-07-27 16:19:00,99,115.83,7,1183.52
368,873,31,2024-02-01 16:27:00,92,59.48,3,635.99
369,575,23,2024-12-30 13:15:00,50,70.28,5,590.98
370,107,43,2025-01-16 10:13:00,46,47.14,3,580.25
371,517,32,2024-07-05 10:19:00,24,16.49,0,244.54
372,1578,9,2024-06-18 11:47:00,113,104.55,11,1085.49
373,566,14,2024-10-26 12:05:00,23,16.5,3,138.77
374,1984,42,2025-02-22 06:12:00,100,100.12,3,875.93
375,1120,40,2024-06-24 09:46:00,70,104.35,6,1391.57
376,315,3,2024-03-06 06:26:00,80,99.24,11,1682.03
377,919,41,2025-01-02 03:58:00,65,42.96,13,568.69
378,1951,33,2025-02-08 00:10:00,86,72.82,4,793.49
379,1958,37,2024-02-01 22:12:00,104,138.64,15,2058.38
380,1783,33,2025-05-12 02:10:00,66,84.19,12,1147.09
381,800,26,2024-11-06 08:13:00,33,19.91,6,277.17
382,19,33,2024-08-21 16:45:00,102,109.4,9,1807.81
383,607,46,2024-05-17 17:07:00,31,24.85,7,271.32
384,1310,10,2025-04-27 08:59:00,27,22.77,1,328.44
385,510,14,2024-09-30 03:00:00,93,84.88,11,954.53
386,1939,46,2025-03-28 17:16:00,102,73.47,9,826.27
387,118,41,2025-02-21 00:52:00,55,43.85,8,428.3
388,1990,2,2024-10-02 21:55:00,109,157.52,3,2398.4
389,1410,25,2025-04-29 20:16:00,90,105.38,45,1060.29
390,906,15,2024-06-15 08:13:00,84,98.01,12,936.62
391,475,47,2025-01-06 13:23:00,28,39.53,2,512.29
392,941,12,2025-02-21 05:12:00,82,85.4,5,1236.22
393,44,20,2024-03-24 05:52:00,60,73.12,6,635.74
394,148,28,2024-05-05 14:58:00,92,135.55,3,2066.2
395,282,47,2025-01-19 00:38:00,22,20.68,0,188.2
396,28,49,2025-03-01 20:59:00,15,10.78,15,115.09
397,1923,41,2024-11-03 00:50:00,11,16.08,3,215.85
398,1676,22,2025-03-12 22:05:00,35,25.39,14,410.17
399,630,22,2024-09-02 04:15:00,17,18.52,8,264.37
400,253,2,2025-02-26 01:06:00,79,68.5,13,645.16
401,1869,15,2024-01-13 07:27:00,59,43.23,9,443.49
402,1801,44,2024-07-15 21:56:00,101,135.39,3,1749.0
403,226,15,2024-02-22 09:22:00,19,21.93,3,254.5
404,1894,6,2025-04-03 01:38:00,29,22.05,10,308.61
405,1392,28,2024-03-17 21:43:00,48,55.79,9,640.68
406,213,18,2025-04-14 15:42:00,57,82.06,2,1303.82
407,1765,10,2025-02-02 20:09:00,50,36.65,38,557.57
408,1609,31,2025-02-21 02:07:00,83,81.73,8,772.08
409,662,9,2024-04-03 12:22:00,50,52.24,15,780.16
410,848,39,2025-02-10 20:21:00,27,35.69,25,422.28
411,1126,32,2024-10-02 17:31:00,78,84.44,7,1000.3
412,1190,46,2024-08-03 16:36:00,109,133.43,7,2005.58
413,482,24,2024-01-02 06:54:00,12,11.11,15,195.27
414,1887,8,2024-01-31 11:23:00,118,161.0,4,1762.46
415,296,36,2025-05-12 13:15:00,36,48.42,1,749.06
416,241,45,2024-12-26 04:24:00,103,64.24,13,752.69
417,1437,7,2024-12-05 18:04:00,71,96.11,20,797.89
418,749,10,2024-02-10 07:04:00,11,12.23,13,116.15
419,374,31,2025-01-15 04:47:00,77,94.61,9,1201.72
420,1480,22,2024-08-15 20:44:00,11,9.44,19,81.18
421,1316,3,2024-11-05 05:32:00,30,18.29,13,270.67
422,1794,30,2024-10-10 22:53:00,43,61.37,9,926.29
423,868,11,2024-05-19 02:33:00,58,85.85,4,1324.78
424,821,40,2024-01-29 07:25:00,33,44.23,2,715.0
425,960,31,2024-06-09 20:41:00,61,82.02,20,701.0
426,761,42,2024-08-05 06:17:00,23,15.96,11,223.95
427,1734,22,2024-01-15 07:18:00,30,32.62,2,330.09
428,23,49,2025-04-10 09:12:00,80,62.52,1,650.42
429,175,37,2024-10-16 01:36:00,111,114.93,1,1280.99
430,1933,20,2024-01-05 11:48:00,46,67.29,6,749.93
431,801,47,2024-07-01 04:44:00,96,66.01,13,1119.87
432,1032,7,2024-09-14 04:01:00,85,111.9,15,1551.33
433,1745,3,2024-05-28 05:09:00,97,98.63,2,1728.8
434,475,14,2025-02-17 21:41:00,28,36.17,5,648.68
435,1028,34,2025-01-08 19:41:00,76,109.23,31,1362.62
436,269,22,2024-05-28 11:39:00,119,172.09,1,2909.49
